text,user,location,genre,sentiment
ENJOY THE NIGHT WITH NEWEST ROCK COUNTRY FOLK BLUES AND JAZZ ON JAM RADIO  rock classicrock countrymusic folkmusic BluesMusic Jazz folk Radio OnlineRadio radiostation music world listen nowplaying ListenNow NewMusic rockmusic metal,jamonlineradio,Spain,rock,0.4
Time for MusicMonday   OnAir Today  5PM EST   CountryMusic  RockMusic Mix  8PM EST   RockMusic  Alternative ,BGLRadio,DJs from North AmericaUK ,rock,0.0
Its  amp  show time rock rockmusic chefslife ,RichardPughe,Chingford London ,rock,0.0
Machine Gun Kelly releases acoustic version of Bloody Valentine along with music video Check it out at the link below  mgk machinegunkelly acoustic headrushtv bloodyvalentine poppunk punk punkrock punks rock music rockstar rockmusic ,HeadRushTV,Boston MA USA,rock,-0.8
Rescheduled Disturbed with Staind and Bad Wolves dates are here disturbed staind badwolves headrushtv tourdates aaronlewis rock music metal hardrock rockstar metalmeme headbanger metalmemes metalhead rockmusic heavymetal news media bestband livemusic ,HeadRushTV,Boston MA USA,rock,-0.6999999999999998
NewBluesRockAlbum out now rockmusic bluesrock rockaintdead robtognoni ROB TOGNONI – Catfish Cake Check it out at ,GuitarRockNews,München Bayern,rock,0.0
 HanoiRocks  Dont You Ever Leave Me From the album Two Steps From The Move     HardRock 80srock rockmusic rock,Thesandwellstud,england,rock,0.0
The Dying Stage by  on SoundCloud np rock rockmusic indie indiemusic  ,HVirock,Columbus GA,rock,0.0
Remembering Vinnie Paul Vincent Paul Abbott was born on Mar11th 1964 and passed away on June 22nd 2018 He was a musician songwriter and producer best known for being the drummer and cofounder of the heavy metal band Pantera vinniepaul metal rip rockmusic hardrock rock ,jegentry66,Shreveport La,rock,0.4
Joshua Bruneau USA Played the trumpet on contrast the album    music classicrock jazzrock jazz jazzblues bluesrock musician musicproducer rockmusic musicvibes loveformusic easylistening trumpet trumpetplayer ,contrastalbum,,rock,0.0
Unexpected day off music round 4 Rehabbing some albums that I havent seen in a while rock rockmusic rocknroll vinyl vinylcollection vinylrecords ,glasmith,Warren MI,rock,-0.05
On this day in 2018 we lost the legend Vinnie Paul His music lives on and will continue to live on forever vinniepaul rip legend headrushtv rock music metal hardrock rockstar headbanger metalhead rockmusic heavymetal news media bestband pantera hellyeah ,HeadRushTV,Boston MA USA,rock,0.13636363636363635
throwback to 2015 when the  came in for an Ugly Grey Box Session Check out their acoustic version of Sometimes On A Sunday CFOX YouRock glorioussons theglorioussons livemusic rockmusic acoustic unplugged UGB uglygreybox isolationstation foxrocks ,CFOXvan,Vancouver,rock,-0.375
We cant wait to get gigging again  •  • kaylyde kaylydeband rocknroll rockband rockmusic hardrock femalefronted femalefrontedband femalefrontedrock gothic bandphotography ,Kaylydeband,Lincoln,rock,0.0
Rock on Get your rock shirts today   rock rocknroll rockmusic rockon areyouready music shirts Rockstar ,LicensedProduct,online worldwide,rock,0.0
Happy birthday to Bruce Campbell Bruce Lorne Campbell was born on June 22nd 1958 and is a actor voice actor producer writer and director One of his bestknown roles is Ash Williams in Sam Raimis Evil Dead franchise brucecampbell rock rockmusic hardrock classicrock ,jegentry66,Shreveport La,rock,-0.13333333333333333
Bob Dylan  Like a Rolling Stone Vote for The best rock songs rock rocknroll rockAndRoll classicRock rockMusic music musica  BobDylan LikeARollingStone,leaguephoto,,rock,1.0
Make the noise of the world disappear with the recently released mesmerizing Self Made Man from the house of be92sulRxmGtQ rockmusic ,RhinoRadio,England,rock,0.15
My new single Hey You on Amazon Music MusicLov3rz popularartist rockmusic indiemusic upcomingartist Upcomingmusician ,AndersMusic78,,rock,0.032467532467532464
